FECHA_DESEMBOLSO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,IFI,TIPO_IFI,MONTO_CREDITO,MONTO_CUOTA_INICIAL,PLAZOS,TASA,MONTO_VALOR_VIVIENDA,MONTO_BBP_SOSTENIBLE,GRADO_BONO_SOSTENIBLE,FECHA_CORTE
20220131,PIURA,PIURA,PIURA,200101,CREDITO,BANCO,128650.00,16950.00,240.00,8.00,169500.00,23900.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,CREDITO,BANCO,141850.00,29250.00,240.00,8.20,195000.00,23900.00,3,20230525
20220131,ICA,ICA,LA TINGUINIA,110102,BANBIF,BANCO,90980.00,37120.00,240.00,8.90,152000.00,23900.00,1,20230525
20220131,ICA,ICA,LA TINGUINIA,110102,BANBIF,BANCO,115342.00,15472.00,240.00,10.40,154714.00,23900.00,1,20230525
20220131,LIMA,LIMA,ATE,150103,BANBIF,BANCO,151600.00,19500.00,180.00,7.85,195000.00,23900.00,3,20230525
20220131,ICA,ICA,LA TINGUINIA,110102,BANBIF,BANCO,110533.00,14937.00,240.00,10.40,149370.00,23900.00,1,20230525
20220131,ICA,ICA,LA TINGUINIA,110102,BANBIF,BANCO,116734.00,32033.00,240.00,8.90,172667.00,23900.00,1,20230525
20220131,ICA,ICA,LA TINGUINIA,110102,BANBIF,BANCO,158044.00,20900.00,180.00,9.15,202844.00,23900.00,1,20230525
20220131,ICA,ICA,LA TINGUINIA,110102,BANBIF,BANCO,111930.00,15096.00,120.00,8.90,150926.00,23900.00,1,20230525
20220131,CALLAO,CALLAO,CALLAO,070101,BANBIF,BANCO,119407.00,15923.00,240.00,8.65,159230.00,23900.00,3,20230525
20220131,LAMBAYEQUE,CHICLAYO,LA VICTORIA,140106,BANCO PICHINCHA,BANCO,47900.00,31500.00,120.00,10.00,105000.00,25600.00,1,20230525
20220131,PIURA,PIURA,26 DE OCTUBRE,200115,BANCO PICHINCHA,BANCO,103458.10,14150.90,300.00,9.70,141509.00,23900.00,1,20230525
20220131,LAMBAYEQUE,CHICLAYO,LA VICTORIA,140106,BANCO PICHINCHA,BANCO,68900.00,10500.00,240.00,10.00,105000.00,25600.00,1,20230525
20220131,LIMA,LIMA,BRENIA,150105,CONTINENTAL,BANCO,162900.00,27000.00,240.00,7.35,213800.00,23900.00,3,20230525
20220131,SAN MARTIN,SAN MARTIN,LA BANDA DE SHILCAYO,220909,CONTINENTAL,BANCO,140708.13,29048.60,300.00,8.00,193656.73,23900.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,CONTINENTAL,BANCO,160600.00,20500.00,204.00,7.50,205000.00,23900.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,CONTINENTAL,BANCO,106690.00,20410.00,240.00,5.99,151000.00,23900.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,CONTINENTAL,BANCO,105100.00,25000.00,120.00,7.40,154000.00,23900.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,CONTINENTAL,BANCO,88100.00,42000.00,300.00,7.50,154000.00,23900.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,CONTINENTAL,BANCO,114700.00,15400.00,300.00,7.30,154000.00,23900.00,3,20230525
